,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
aar2,321.4318776459298,0.3948101020131005,0.1774950828359568,2.224343884376724,0.026125316249765843,0.10032121439910083
aard,53.466222904205154,-0.6636912116167111,0.2934551513200236,-2.2616444408329075,0.023719379945723883,0.09659614109817996
aars2,313.49524009801536,-0.1851783119892994,0.1479047187324608,-1.2520108457409083,0.21056591196104468,0.3887370682357748
aarsd1,210.9671327714052,-0.11694777351940944,0.15351011223855615,-0.7618245587474491,0.446164720768095,0.6258578818427946
aasdh,374.7195230058871,0.0068815267420231615,0.1565772782635851,0.0439497149160983,0.9649444867863035,0.9751017971735277
aasdhppt,741.6620053280745,0.1254729330173943,0.1367624033438587,0.9174519454876824,0.35890586319228845,0.5577039009354956
aass,3368.0654672346323,-1.8012505963173813,0.29307650078864894,-6.1460082656587565,7.945714489744622e-10,7.627885910154838e-08
aatf,347.82790852925245,-0.1864428899040463,0.146751700131774,-1.2704649400084094,0.20391906384082703,0.3883612239800487
aatk,25.41115897952722,-0.9544654842949251,0.4161798757263635,-2.2933965334798696,0.021825186033099915,0.09659614109817996
abat,11602.938560439614,-0.5962395601805188,0.2010217216171256,-2.9660454371997758,0.0030165591936142577,0.02632633478063352
abca1,7780.429521399613,-0.17708553135678334,0.1530348737492573,-1.1571580190730397,0.24720780593584368,0.43340666707083086
abca12,9.85025899261469,1.5195655839159359,0.8417394648630083,1.8052683132342413,0.07103270556930903,0.21696129849831938
abca13,99.54830485727348,-0.2896297424868332,0.20421464115404225,-1.4182613981549004,0.15611446224506936,0.3489253634249764
abca2,769.8651209240703,0.2534331173999508,0.30068292756629755,0.8428583539851005,0.3993076674502053,0.5768904662435188
abca3,65.76826988243765,0.464024419819738,0.2585653945425669,1.7946114585080217,0.07271562622742067,0.21696129849831938
abca4,67.58235896814992,-1.0130420145733185,0.36045504532715655,-2.810453141677794,0.004947179219516211,0.03392351464811116
abca5,3403.6222660448366,-0.1590226519422706,0.18760568502525246,-0.8476430334233503,0.39663680072216545,0.5768904662435188
abca6,9157.935220927575,-0.8178779331732192,0.14261763096782315,-5.734760335191276,9.76503277253977e-09,4.6872157308190895e-07
abca7,93.07776109630574,0.029345489886822264,0.2590763884946054,0.11326964242993262,0.9098167841504127,0.9598067173454903
