,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
abcd3,12968.444307378697,-0.30317782941847654,0.11583311432577519,-2.6173675048207987,0.008861088154400535,0.04150720240745514
abcd4,133.29818237970093,-0.30774472780042933,0.16773087328545583,-1.834753028899387,0.06654229113425007,0.185070747217133
abce1,2943.6233686142864,-0.2608368306278814,0.0936199700211633,-2.7861238426899497,0.005334248801659313,0.027926361373392876
abcf1,1164.4052526058206,0.03888576452047245,0.12250719985413443,0.317416156493435,0.7509278494838247,0.8568279308212872
abcf2,915.8997360561133,-0.15515040086763862,0.08250548389927792,-1.8804859208758182,0.06004188340234744,0.1787066686736805
abcf3,1107.8503699311689,-0.22493602744451938,0.10219127351681832,-2.2011275493841467,0.02772699547403694,0.1148473925811977
abcg1,368.6091559148581,0.49467764645957796,0.10773984784876783,4.591408437423697,4.40264785370095e-06,0.0001306118863264615
abcg2,2323.677330934422,-0.3981793798760553,0.09404756046719892,-4.233808701661419,2.297664138219447e-05,0.00034082018050255136
abcg4,1.0512799253093557,1.0349470035826305,1.1090164871871946,0.9332115577538195,0.3507107484300277,
abcg5,1499.063803358802,0.030271868125428005,0.14776576777059464,0.20486387735233022,0.8376784783066544,0.909187616698686
abcg8,1324.8600598651662,-0.31162158067879137,0.12274123156783928,-2.5388500400255283,0.011121748323811787,0.049491780040962455
abhd10,141.54266044666593,0.0419658110591329,0.10866235221174965,0.38620377899932057,0.6993457552211437,0.8411050299281323
abhd11,479.0235560427554,0.058322913903455766,0.06978472799515213,0.8357546927388955,0.40329291976129167,0.5982178309792493
abhd12,627.7478891205191,0.10135203626510034,0.07066567105137762,1.4342471352378743,0.1515017504097341,0.3210394234872937
abhd12b,7.334093652676386,0.4391496155127841,0.5099844088425088,0.8611040021978403,0.3891807651336666,0.59204438453874
abhd13,856.5189413553185,-0.06394620224553839,0.08163477729434013,-0.7833205940524062,0.4334388726943015,0.6013460724754452
abhd14a,151.80897388670311,-0.09895282352300844,0.11571662358603008,-0.85513058069346,0.39247886166051305,0.59204438453874
abhd14b,3128.3491574196028,0.13222952366657365,0.08084078357997979,1.6356784015552301,0.10190691211143732,0.24306316623237162
abhd15,850.0149505149511,-0.08483112043618299,0.09493072874913244,-0.8936107575910529,0.371530188570398,0.59204438453874
abhd16a,643.9238293160523,0.04091056777430519,0.06976918657758159,0.5863701410480637,0.5576268051507585,0.7298350832120221
abhd16b,1.9607117022063598,0.5934174506170504,0.8275167306651592,0.7171062875551296,0.47330851643149563,
abhd17a,741.2550376294375,0.07388193690884458,0.08357885694238942,0.8839787909491404,0.37670766201523653,0.59204438453874
abhd17b,482.9897387132112,-0.06886836114547584,0.13794179125955128,-0.4992566829576189,0.617598566992251,0.7741728515818358
abhd17c,889.2046538067265,0.05800349393883638,0.10135547592555467,0.5722778508922378,0.5671337527163534,0.7315203477066007
abhd18,760.1551941351381,-0.08195761215622478,0.09230996217111834,-0.8878522992382661,0.37462020629141335,0.59204438453874
abhd2,1902.0299056958122,0.5702617428598858,0.13327649873864716,4.278786944862342,1.8791462524479017e-05,0.0003344880329357265
abhd3,1152.1183905995797,-0.058256085719874715,0.08911037914205568,-0.6537519678488354,0.51327161633589,0.6818085649834957
abhd4,667.1709062033475,0.1885047231603422,0.10461780551721535,1.8018416867798173,0.07157031694314653,0.19302297599818305
abhd5,683.5522502673657,-0.1355785749873384,0.12271391158115545,-1.1048345965051818,0.2692312665249067,0.5098209089514191
abhd6,370.7693824077944,-0.24703910283481628,0.1685761536303878,-1.4654451268146897,0.1427995130905768,0.30997943085515456
abhd8,85.66034225064163,0.5283259031253124,0.1655558592481283,3.1912244334009303,0.001416711835248797,0.009006239524081637
abi1,1103.1803012299567,0.166761978708241,0.06260352148793578,2.663779524613123,0.007726818668244191,0.038204825637429614
abi2,238.5337107287315,0.5006024320246044,0.1397599602715313,3.5818730275252926,0.0003411395957077893,0.0027661741950208507
abi3,144.61937208743814,0.645161566186845,0.16369062393870762,3.941347101397936,8.102527673197058e-05,0.0009014062036431727
abi3bp,157.9684467559069,0.1809848375683515,0.16860112658158033,1.0734497523109914,0.28306937207524685,0.5248577940561869
abl1,593.9843707601772,0.24140077879366553,0.12978082956416637,1.8600650003883041,0.06287633021132248,0.18051591576799036
abl2,337.98099238655533,0.014478093612444537,0.09316399454533088,0.15540438860637218,0.8765025245913334,0.9398641528750442
ablim1,599.9105575481879,0.0631558911365852,0.12421798549886015,0.508427913099305,0.6111532815296328,0.7741728515818358
ablim2,47.620273895913414,-0.06018940203356345,0.1770088988999362,-0.34003602309050424,0.7338294000295615,0.8568279308212872
ablim3,344.94319909334405,-0.09929084089712162,0.12705463751906795,-0.7814814385049137,0.4345193894911136,0.6013460724754452
abo,0.08590913807337867,0.331265019735105,3.401110557331754,0.09739907425855326,0.92240947986945,
abr,223.9964672383412,0.677589189042742,0.16516076066822036,4.102603949638513,4.085262131709437e-05,0.000519411899603057
abra,2.342058316412137,-0.06471753297950636,1.1107854417536367,-0.05826285666594125,0.9535392533194467,
