Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Shigellosis,0.4202709819067162,1.490934477396406,0.0022346368715083797,0.0662636593531758,0.971,94/207,29.30%,il1b;tnf;jun;foxo6;pycard;hk2;bax;src;prkce;ube2nl;myl7;il18;mapk10;cd44;arpc5;cycs;pfn4;hkdc1;casp1;sqstm1;nlrp3;tradd;nlrc4;bcl2;cyth3;actr2;myl12b;hk1;arpc3;ripk2;casp4;bcl10;actb;bcl2l1;arpc2;cyth2;myl12a;arf6;plcb2;arpc5l;mapk11;myd88;rraga;rbx1;actn1;arhgef2;ikbkg;gabarap;cdc42;rbck1;capns1;cyth4;plcd3;arpc4;plcb3;itgb1;capn2;mapk1;ube2d1;ube2n;hcls1;rac1;rhoa;bcar1;pfn3;ifnb1;gsk3a;itpr1;hk3;ilk;pik3r2;ccl5;mtor;pfn1;arpc1b;itpr3;pik3cd;arf1;ubc;rragc;il1r1;traf5;mdm2;prkcq;ube2v2;tnip1;pik3r3;wasf2;gabarapl2;plcb1;nod1;arpc1a;elmo2;atg5
prerank,Protein processing in endoplasmic reticulum,0.4308233054461775,1.489453259526862,0.0011560693641618498,0.066305418931527,0.974,88/155,35.99%,tram1l1;fbxo2;derl3;bax;hspa5;hspa2;mapk10;cryaa;hspa4l;calr;sel1l2;bak1;bcl2;dnajb11;tusc3;sec61a1;preb;bcap31;hsph1;hspa8;dnajc5b;rbx1;ssr3;eif2ak3;hsp90aa1;sec23b;capn2;ubqln4;tram1;ube2d1;sec24a;derl2;dad1;sec61b;plaa;ube2j1;sec61g;ppp1r15a;ddit3;sec24c;dnaja1;txndc5;vcp;sec24d;ssr2;dnajb1;ckap4;pdia3;p4hb;pdia6;dnajc10;sel1l;hsp90ab1;pdia4;rpn2;rpn1;ssr1;ddost;fbxo6;ubqln2;nsfl1c;uggt1;ssr4;eif2ak1;sec23a;dnajc1;hyou1;nploc4;atf4;mogs;hsp90b1;stub1;sil1;xbp1;wfs1;ubxn2a;derl1;dnajc3;sec13;eif2s1;erlec1;capn1;rnf185;lman2;yod1;dnajc5;rad23a;ubqln1
prerank,Lysosome,0.4443499132292669,1.4876224955482205,0.0035502958579881655,0.06668664991475232,0.976,60/124,31.72%,dnase2b;laptm5;gla;ctsg;ppt1;hyal3;atp6v0b;ctsd;tcirg1;atp6v0d1;ctss;atp6v0c;lipa;ctsa;slc17a5;npc2;ctsc;ctsk;acp5;litaf;neu1;ap1s1;gm2a;lamp2;hyal2;hexb;tpp1;cd63;ctns;laptm4b;cd68;gns;ap1b1;lamp1;atp6ap1;asah1;cltb;atp6v0a4;clta;fuca2;lgmn;ap1s2;psap;sort1;ctsz;entpd4;ap1s3;glb1;aga;atp6v0a1;gnptg;lamp3;cltc;hexa;ctse;gaa;ap3m1;ap3d1;abca2;m6pr
prerank,Systemic lupus erythematosus,0.5464568333063284,1.4875766912384623,0.04101838755304102,0.06582549947490828,0.976,14/31,19.44%,tnf;elane;ifng;cd80;c7;ctsg;c1qa;cd86;c1qb;trim21;c1qc;actn1;snrpd1;snrpb
prerank,Sphingolipid signaling pathway,0.44050830041817485,1.4727221874556475,0.013205282112845138,0.0741208433781043,0.978,46/115,25.45%,tnf;s1pr2;bax;prkce;prkcg;s1pr4;gna12;mapk10;rac2;bdkrb2;adora3;ctsd;fcer1a;sphk1;tradd;pld2;bcl2;rac3;abcc1;gna13;fcer1g;hras;plcb2;mapk11;prkcb;sgpp1;degs1;bid;gab2;plcb3;ppp2r5b;asah1;mapk1;ppp2r1a;smpd2;rac1;nras;rhoa;pik3r2;ppp2ca;pik3cd;map2k2;nsmaf;acer2;gnai3;gnai2
prerank,Viral myocarditis,0.5238796852042273,1.469565507139751,0.051351351351351354,0.07542226690430111,0.981,16/38,20.50%,sgcb;itgb2;icam1;sgcd;cd80;rac2;cd86;cycs;ccnd1;sgca;rac3;sgcg;actb;eif4g3;bid;rac1
prerank,Melanogenesis,0.44934743882721245,1.4671127786554552,0.015018773466833541,0.07603058995933906,0.982,24/94,16.48%,fzd2;adcy8;calml3;wnt1;wnt10b;tyrp1;fzd10;wnt4;pomc;prkcg;lef1;wnt11;kit;creb3;wnt2;wnt16;fzd7;fzd3;adcy3;fzd8;hras;camk2b;plcb2;prkcb
prerank,Prostate cancer,0.4470721277107186,1.4664027849087113,0.012706480304955527,0.07553344858280128,0.982,31/92,23.67%,mmp9;mmp3;egf;plau;ccne1;e2f1;cdkn1a;lef1;e2f3;pdgfrb;gstp1;ccnd1;creb3;pdgfa;bcl2;tgfa;fgfr2;hras;ikbkg;rb1;ccne2;il1r2;nkx3-1;pdgfra;hsp90aa1;mapk1;nras;pik3r2;mtor;pik3cd;map2k2
prerank,Glutathione metabolism,0.4855263177559083,1.4651681157661667,0.03825857519788918,0.07546880912596673,0.983,19/52,15.40%,gpx2;gpx6;chac1;ggt1;gstm3;rrm2;gpx7;gpx1;gstp1;gpx3;pgd;odc1;nat8;rrm2b;srm;gss;ggt5;idh2;hpgds
prerank,Breast cancer,0.4280885090825629,1.4629198450600225,0.01070154577883472,0.075885479138922,0.984,37/141,15.44%,fzd2;egf;wnt1;fgf21;wnt10b;fzd10;hes5;e2f1;jun;fgf20;wnt4;fos;cdkn1a;myc;bax;fgf23;dll3;lef1;wnt11;heyl;kit;e2f3;jag2;fgf17;shc3;ccnd1;gadd45g;wnt2;bak1;wnt16;nfkb2;fzd7;fzd3;frat2;shc2;fzd8;hras
